Computed reward for each iterations     &    depth of the search
01264     0.9589     2
01265     0.8512     2
01266     0.9050     2
01267     0.7701     2
01268     0.8173     2
01269     0.8517     2
01270     0.8293     2
01271     0.8233     2
01272     0.8701     2
01273     0.8905     2
01274     0.8539     2
01275     0.8166     2
01276     0.8231     1
01277     0.8720     2
01278     0.9267     2
01279     0.9420     2
01280     0.7971     2
01281     0.8231     1
01282     0.9951     2
01283     0.9840     2
01284     0.9399     2
01285     0.9472     2
01286     0.9632     2
01287     0.8231     1
01288     0.9662     2
01289     0.9774     2
01290     0.9776     2
01291     0.9808     2
01292     0.9356     2
01293     0.6900     2
01294     0.9551     2
01295     0.9724     2
01296     0.8231     1
01297     0.9742     2
01298     0.9253     2
01299     0.9870     2
01300     0.9817     2
01301     0.8231     1
01302     0.7939     2
01303     0.9776     2
01304     0.9581     2
01305     0.9789     2
01306     0.9819     2
01307     0.9839     2
01308     0.8231     1
01309     0.9487     2
01310     0.9442     2
01311     0.9715     2
01312     0.9679     2
01313     0.9172     2
01314     0.8093     2
01315     0.9655     2
01316     0.9188     2
01317     0.8231     1
01318     0.9760     2
01319     0.9983     2
01320     0.7810     2
01321     0.9627     2
01322     0.8862     2
01323     0.8231     1
01324     0.9583     2
01325     0.9903     2
01326     0.9659     2
01327     0.9756     2
01328     1.0000     2
01329     0.8878     2
01330     0.9935     2
01331     0.9573     2
01332     0.8231     1
01333     0.9836     2
01334     0.6949     2
01335     0.9327     2
01336     0.8889     2
01337     0.9633     2
01338     0.8231     1
01339     0.9228     2
01340     0.9549     2
01341     0.9920     2
01342     0.9440     2
01343     0.9064     2
01344     0.9722     2
01345     0.8231     1
01346     0.9399     2
01347     0.9951     2
01348     0.8132     2
01349     0.9519     2
01350     0.9295     2
01351     0.9932     2
01352     0.9551     2
01353     0.9599     2
01354     0.8231     1
01355     0.8061     2
01356     0.9568     2
01357     0.9627     2
01358     0.9627     2
01359     0.9627     2
01360     0.9627     2
01361     0.8231     1
01362     0.9627     2
01363     0.8112     2
01364     0.9627     2
01365     0.9627     2
01366     0.9627     2
01367     0.9627     2
01368     0.9627     2
01369     0.9251     2
01370     0.8231     1
01371     0.9627     2
01372     0.9627     2
01373     0.8277     2
01374     0.9627     2
01375     0.9627     2
01376     0.9183     3
01377     0.8510     3
01378     0.8231     1
01379     0.8164     2
01380     0.9952     3
01381     0.9824     3
01382     0.9600     3
01383     0.9775     3
01384     0.9694     3
01385     0.9822     3
01386     0.8231     1
01387     0.9920     2
